Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last
1054,Chiffchaff,Common,Phylloscopus,collybita,0.0662,7,2022-04-09,0.0043,1,2018-02-25
3108,Cisticola,Aberdare,Cisticola,aberdare,0.1609,17,2022-09-02,0.2260,52,2022-10-07
3124,Cisticola,Ashy,Cisticola,cinereolus,0.5205,55,2022-10-30,0.2043,47,2022-06-27
3130,Cisticola,Black-backed,Cisticola,eximius,0.0568,6,2021-04-14,0.0348,8,2022-08-05
3112,Cisticola,Boran,Cisticola,bodessa,0.1041,11,2020-10-10,0.0478,11,2022-09-02
3118,Cisticola,Carruthers's,Cisticola,carruthersi,0.3028,32,2022-01-09,0.0478,11,2021-11-07
3122,Cisticola,Chubb's,Cisticola,chubbi,1.2776,135,2022-11-08,0.2738,63,2021-11-21
3132,Cisticola,Coastal,Cisticola,haematocephalus,3.3784,357,2022-10-28,0.6476,149,2022-10-08
647,Cisticola,Croaking,Cisticola,natalensis,1.1167,118,2022-10-28,0.2303,53,2022-10-12
630,Cisticola,Desert,Cisticola,aridulus,1.3722,145,2022-11-03,0.2173,50,2022-10-03
632,Cisticola,Hunter's,Cisticola,hunteri,7.1638,757,2022-11-05,2.2469,517,2022-10-28
646,Cisticola,Levaillant's,Cisticola,tinniens,0.4164,44,2022-07-30,0.2434,56,2022-10-17
3102,Cisticola,Long-tailed,Cisticola,angusticauda,0.0662,7,2022-02-11,0.0348,8,2022-07-10
3138,Cisticola,Luapula,Cisticola,luapula,0.5583,59,2020-07-17,0.0826,19,2020-05-24
3104,Cisticola,Lynes's,Cisticola,distinctus,0.1514,16,2022-01-12,0.0869,20,2022-10-05
3114,Cisticola,Pectoral-patch,Cisticola,brunnescens,3.8138,403,2022-11-03,0.8562,197,2022-10-26
642,Cisticola,Rattling,Cisticola,chiniana,22.8069,2410,2022-11-09,5.3979,1242,2022-11-07
644,Cisticola,Red-faced,Cisticola,erythrops,6.9651,736,2022-11-04,0.9344,215,2022-10-28
3098,Cisticola,Rock-loving,Cisticola,emini,0.0757,8,2020-10-17,0.0087,2,2021-05-08
4138,Cisticola,Rufous-winged,Cisticola,galactotes,0.7476,79,2022-02-19,0.1130,26,2022-05-08
636,Cisticola,Short-winged,Cisticola,brachypterus,2.5457,269,2022-10-28,0.2695,62,2022-10-21
643,Cisticola,Singing,Cisticola,cantans,12.9554,1369,2022-11-09,2.4816,571,2022-11-03
3152,Cisticola,Stout,Cisticola,robustus,3.8138,403,2022-11-09,0.5954,137,2022-11-09
3146,Cisticola,Tiny,Cisticola,nana,1.0126,107,2022-10-30,0.2086,48,2022-10-16
3166,Cisticola,Trilling,Cisticola,woosnami,0.1041,11,2021-12-12,0.0478,11,2021-05-08
639,Cisticola,Wailing,Cisticola,lais,0.0852,9,2017-07-27,0.0130,3,2017-01-01
3136,Cisticola,Whistling,Cisticola,lateralis,0.0284,3,2020-12-22,0.0174,4,2018-01-20
