SEQ,common_name,scientific_name,merged_SEQ,ADU,avibaseID,flag,comment
459,Green Wood Hoopoe,Phoeniculus purpureus,,0,0,,
460,Violet Wood Hoopoe,Phoeniculus granti,,420,avibase-76FAC9A5,This species is prone to misidentification and its maps might be affected by error.,CJ: this pattern is surely a factor of a change in the ability to ID these? OR are they being wrongly identified today?? 
461,White-headed Wood Hoopoe,Phoeniculus bollei,,1516,avibase-D1FFB474,,
462,Scimitarbill,Phoeniculus cyanomelas,,421,avibase-B0DD1318,,
463,Abyssinian Scimitarbill,Phoeniculus minor,,1526,avibase-46847C50,,
464,Black-and-white-casqued Hornbill,Bycanistes subcylindricus,,1484,avibase-02428AC1,,
465,Silvery-cheeked Hornbill,Bycanistes brevis,,423,avibase-5350D0E8,,
466,Trumpeter Hornbill,Bycanistes bucinator,,422,avibase-3A4D2B44,,
467,Ground Hornbill,Bucorvus cafer,,430,avibase-4192DE77,,
468,Abyssinian Ground Hornbill,Bucorvus abyssinicus,,1510,avibase-948ED65C,,
469,Yellow-billed Hornbill,Tockus flavirostris,,1494,avibase-3BCD9CB0,There is likely an error of identification or taxnomy with the old atlas data,
470,Von Der Decken's Hornbill,Tockus deckeni,,1490,avibase-DE36D3BD,,
471,Jackson's Hornbill,Tockus jacksoni,,1500,avibase-427D7FD6,,
472,Red-billed Hornbill,Tockus erythrorhynchus,,4129,avibase-AF75AC32,,
473,Hemprich's Hornbill,Tockus hemprichii,,1498,avibase-6D72B23C,,
474,Crowned Hornbill,Tockus alboterminatus,,427,avibase-1FDA0172,,
475,Grey Hornbill,Tockus nasutus,,424,avibase-0CCD664D,,
476,Pale-billed Hornbill,Tockus pallidirostris,0,#N/A,#N/A,,"Rejected by Zimmerman et al. 1996. See East African Rarities Committee (EARC) Special Report
Species included for East African countries in Britton (1980)
which have since been considered unacceptable. https://eararities.org/downloads/Fisher,%20Pearson%20&%20Hunter%202016.pdf"
477,Double-toothed Barbet,Lybius bidentatus,,1422,avibase-439FE608,,
478,Brown-breasted Barbet,Lybius melanopterus,,1050,avibase-724266B4,,
479,White-headed Barbet,Lybius leucocephalus,,960,avibase-BCA0F974,,
480,Black-collared Barbet,Lybius torquatus,,431,avibase-8C50CB2D,,
481,Black-billed Barbet,Lybius guifsobalito,,1428,avibase-0D419595,,
482,Red-fronted Barbet,Tricholaema diadematus,,1462,avibase-3E3AFB25,,
483,Black-throated Barbet,Tricholaema melanocephala,,1472,avibase-F03BE6C3,,
484,Spotted-flanked Barbet,Tricholaema lacrymosus,,1470,avibase-F1CCA0AA,,
485,Hairy-breasted Barbet,Tricholaema hirsutus,,1468,avibase-915DABE2,,
486,White-eared Barbet,Stactolaema leucotis,,433,avibase-6C81D39B,,
487,Yellow-spotted Barbet,Buccanodon duchaillui,,1414,56790B5768F4529F,,
488,Green Barbet,Stactolaema olivaceum,,435,avibase-4568986F,,
489,Grey-throated Barbet,Gymnobucco bonapartei,,1416,avibase-95054CA5,,
490,Speckled Tinkerbird,Pogoniulus scolopaceus,,1446,avibase-EEA161A8,,
491,Green Tinkerbird,Pogoniulus simplex,,905,avibase-5238FF10,This map might contains errors,
492,Moustached Green Tinkerbird,Pogoniulus leucomystax,,1442,avibase-7BEB0003,,
493,Red-fronted Tinkerbird,Pogoniulus pusillus,,436,avibase-A4CF3B9E,,
494,Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,,437,avibase-2F467821,This map might contains errors,
495,Yellow-rumped Tinkerbird,Pogoniulus bilineatus,,438,0,,
496,Yellow-billed Barbet,Trachylaemus purpuratus,,1458,avibase-75DF194C,,
497,d'Arnaud's Barbet,Trachyphonus darnaudii,,1452,avibase-1953C1D6,Records in the old atlas of d'Arnaud's and Usambiro Barbet are lumped,
498,Usambiro Barbet,Trachyphonus usambiro,497,#N/A,#N/A,,Folded into SEQ 497 d'Arnaud's Barbet. Taxonomic: AviList v2025b treats Trachyphonus usambiro as a subspecies of T. darnaudii (eBird issf darbar3). 9 squares (1970-1984).
499,Red-and-yellow Barbet,Trachyphonus erythrocephalus,,1454,avibase-570C1121,,
500,Black-throated Honeguide,Indicator indicator,,440,avibase-862749B0,,
501,Lesser Honeyguide,Indicator minor,,0,avibase-50F3668C,Records in the old atlas of Lesser and Thick-billed Honeyguide are lumped.,
502,Thick-billed Honeyguide,Indicator conirostris,501,1350,avibase-0AC6CF82,,Folded into SEQ 501 Lesser Honeyguide. Taxonomic: AviList v2025b treats Indicator conirostris as conspecific with I. minor. 4 squares (1970-1984).
503,Scaly-throated Honeyguide,Indicator variegatus,,441,avibase-7EF4C99C,,
504,Least Honeyguide,Indicator exilis,,1132,avibase-BFF3AA65,This species is prone to misidentification and its maps might be affected by error.,
